total_eth,ym
2015.3929828914002,2017-08-28T00:00:00+00:00
66.77379849574724,2018-10-15T00:00:00+00:00
39.91262960120165,2018-10-29T00:00:00+00:00
6.647103002,2018-11-12T00:00:00+00:00
209.53205723259921,2018-08-13T00:00:00+00:00
859.2599358877375,2017-07-17T00:00:00+00:00
363.407229151215,2018-07-23T00:00:00+00:00
4512.3260272547695,2018-09-17T00:00:00+00:00
7546.563921578281,2018-09-24T00:00:00+00:00
2679.3315288387494,2017-09-04T00:00:00+00:00
197.30723705904768,2017-10-09T00:00:00+00:00
398.2532645747284,2018-01-22T00:00:00+00:00
766.3722088190734,2017-10-02T00:00:00+00:00
74.29224699024238,2017-09-25T00:00:00+00:00
104.5852589917652,2018-11-19T00:00:00+00:00
140.33057312766948,2018-08-06T00:00:00+00:00
482.40384264579137,2018-06-11T00:00:00+00:00
146.3077064867527,2018-11-26T00:00:00+00:00
1358.2460635521456,2018-10-01T00:00:00+00:00
74.93350559,2018-12-24T00:00:00+00:00
529.9935042806346,2018-04-02T00:00:00+00:00
933.135120824106,2018-01-08T00:00:00+00:00
1079.374061541991,2018-06-25T00:00:00+00:00
121.11335615375319,2018-02-12T00:00:00+00:00
468.68186609041487,2018-02-26T00:00:00+00:00
234.34747421092436,2017-12-25T00:00:00+00:00
2875.709357108936,2017-10-16T00:00:00+00:00
23.509258248294294,2018-12-10T00:00:00+00:00
318.91921611592744,2018-01-29T00:00:00+00:00
47.73630757227856,2019-02-18T00:00:00+00:00
53.24627218,2019-01-07T00:00:00+00:00
176.19854834872757,2017-10-23T00:00:00+00:00
734.9534974928446,2018-07-02T00:00:00+00:00
853.8948231470634,2018-01-15T00:00:00+00:00
1320.814833939942,2019-03-18T00:00:00+00:00
673.9495906253268,2017-11-20T00:00:00+00:00
83.30556412473908,2017-11-27T00:00:00+00:00
386.282400371615,2017-12-18T00:00:00+00:00
3012.7165668595344,2018-09-10T00:00:00+00:00
241.9137003243893,2017-12-11T00:00:00+00:00
113.47898639675778,2018-08-20T00:00:00+00:00
2637.5431659964743,2018-09-03T00:00:00+00:00
279.379263050497,2018-07-30T00:00:00+00:00
252.37959316198206,2018-08-27T00:00:00+00:00
686.2849724002288,2018-05-28T00:00:00+00:00
542.2489089575746,2017-09-11T00:00:00+00:00
40.93985109426372,2019-01-14T00:00:00+00:00
1154.886017627143,2017-07-31T00:00:00+00:00
9.79122043,2019-01-28T00:00:00+00:00
571.6972972242307,2018-05-14T00:00:00+00:00
15.65196202042477,2019-01-21T00:00:00+00:00
42.55029413157731,2019-02-04T00:00:00+00:00
1382.3268160178525,2017-07-24T00:00:00+00:00
496.19451657791586,2017-08-21T00:00:00+00:00
237.79422375557442,2017-09-18T00:00:00+00:00
32.145736462111465,2018-12-31T00:00:00+00:00
372.35529512758603,2018-07-16T00:00:00+00:00
147.6672245590314,2018-02-05T00:00:00+00:00
68.34282698389652,2019-03-04T00:00:00+00:00
113.93491227706674,2019-04-08T00:00:00+00:00
3295.942326574536,2017-07-10T00:00:00+00:00
45.33015209005516,2019-04-01T00:00:00+00:00
161.83834156405064,2017-12-04T00:00:00+00:00
480.30825646367356,2017-11-13T00:00:00+00:00
401.36490943147953,2018-07-09T00:00:00+00:00
841.6402336325433,2018-04-23T00:00:00+00:00
375.15902011993865,2018-06-18T00:00:00+00:00
200.56168608066957,2018-01-01T00:00:00+00:00
119.94027826050835,2018-12-17T00:00:00+00:00
601.8864648513944,2018-06-04T00:00:00+00:00
326.35802598645876,2018-02-19T00:00:00+00:00
23.619767414814287,2018-11-05T00:00:00+00:00
2139.9293720043847,2017-08-14T00:00:00+00:00
28.73050466,2019-02-11T00:00:00+00:00
875.0936721775757,2018-04-30T00:00:00+00:00
652.7342358649129,2018-03-19T00:00:00+00:00
656.9299348998632,2017-11-06T00:00:00+00:00
347.3677491920751,2018-03-12T00:00:00+00:00
60.90486115791586,2019-03-25T00:00:00+00:00
114.22140353312562,2019-03-11T00:00:00+00:00
2584.9785696614135,2017-08-07T00:00:00+00:00
709.1152155763987,2018-04-16T00:00:00+00:00
7.615457516784065,2019-04-15T00:00:00+00:00
176.23136734065378,2018-10-08T00:00:00+00:00
1.0,2017-07-03T00:00:00+00:00
758.164048940518,2018-05-07T00:00:00+00:00
835.041412185923,2018-03-26T00:00:00+00:00
11.571132880688854,2019-02-25T00:00:00+00:00
116.63099780253957,2017-10-30T00:00:00+00:00
163.08170467298098,2018-12-03T00:00:00+00:00
376.7944295289586,2018-05-21T00:00:00+00:00
459.8883586428171,2018-04-09T00:00:00+00:00
9.707884677110336,2018-10-22T00:00:00+00:00
848.4216138065939,2018-03-05T00:00:00+00:00
